"","LOCALIZACAO","UF","MEDIA_ALUNADO"
"1","Rural","AC",73.6315789473684
"2","Urbana","AC",102.455172413793
"3","Rural","AL",79.9569377990431
"4","Urbana","AL",147.582159624413
"5","Rural","AM",104.747126436782
"6","Urbana","AM",139.395604395604
"7","Rural","AP",131.473684210526
"8","Urbana","AP",261.8
"9","Rural","BA",86.4735755573906
"10","Urbana","BA",169.175329712956
"11","Rural","CE",91.2308196721311
"12","Urbana","CE",157.942245295263
"13","Rural","DF",88.6875
"14","Urbana","DF",144.568421052632
"15","Rural","ES",66.5977011494253
"16","Urbana","ES",88.2065439672802
"17","Rural","GO",81.4852941176471
"18","Urbana","GO",117.726767275616
"19","Rural","MA",96.4703296703297
"20","Urbana","MA",202.986386138614
"21","Rural","MG",66.4113821138211
"22","Urbana","MG",112.133312421581
"23","Rural","MS",125.326086956522
"24","Urbana","MS",168.462025316456
"25","Rural","MT",90.0655737704918
"26","Urbana","MT",162.10480349345
"27","Rural","PA",86.0521523178808
"28","Urbana","PA",152.096269554753
"29","Rural","PB",66.3643790849673
"30","Urbana","PB",136.772972972973
"31","Rural","PE",79.03367003367
"32","Urbana","PE",161.186968838527
"33","Rural","PI",79.3853211009174
"34","Urbana","PI",155.833333333333
"35","Rural","PR",40.4418604651163
"36","Urbana","PR",106.689068100358
"37","Rural","RJ",92.4334975369458
"38","Urbana","RJ",125.792562463684
"39","Rural","RN",74.7280701754386
"40","Urbana","RN",148.742200328407
"41","Rural","RO",104.438596491228
"42","Urbana","RO",158.624
"43","Rural","RR",261
"44","Urbana","RR",112.758620689655
"45","Rural","RS",74.646694214876
"46","Urbana","RS",112.6476841306
"47","Rural","SC",71.6449704142012
"48","Urbana","SC",93.9021207177814
"49","Rural","SE",67.6900726392252
"50","Urbana","SE",112.679758308157
"51","Rural","SP",83.8091286307054
"52","Urbana","SP",147.599736147757
"53","Rural","TO",94.5034013605442
"54","Urbana","TO",187.113360323887
