"","Group.1","x"
"1","AC",12133.0154440154
"2","AL",24264.0379146919
"3","AM",26203.9504337051
"4","AP",31522.3898305085
"5","BA",26566.3526
"6","CE",28432.9465101109
"7","DF",26883.4054054054
"8","ES",13499.1961805556
"9","GO",21255.0853046595
"10","MA",30797.1592268753
"11","MG",18761.4975019721
"12","MS",30024.6715686275
"13","MT",24227.9145299145
"14","PA",23710.9117214321
"15","PB",22781.5933636955
"16","PE",26547.8580769231
"17","PI",24038.1674757282
"18","PR",17014.7713479181
"19","RJ",20186.9210155148
"20","RN",26022.8601472135
"21","RO",19815.6758241758
"22","RR",8049.73333333333
"23","RS",19802.8323153803
"24","SC",15528.7800511509
"25","SE",18381.8091397849
"26","SP",21121.8546266435
"27","TO",32117.6692667707
